Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-04 00:00:00-05:00,126.8899994,128.6600037,125.0800018,126.3600006,89113600,0,0
2023-01-05 00:00:00-05:00,127.1299973,127.7699966,124.7600021,125.0199966,80962700,0,0
2023-01-06 00:00:00-05:00,126.0100021,130.2899933,124.8899994,129.6199951,87686600,0,0
2023-01-09 00:00:00-05:00,130.4700012,133.4100037,129.8899994,130.1499939,70790800,0,0
2023-01-10 00:00:00-05:00,130.2599945,131.2599945,128.1199951,130.7299957,63896200,0,0
2023-01-11 00:00:00-05:00,131.25,133.5099945,130.4600067,133.4900055,69458900,0,0
2023-01-12 00:00:00-05:00,133.8800049,134.2599945,131.4400024,133.4100037,71379600,0,0
2023-01-13 00:00:00-05:00,132.0299988,134.9199982,131.6600037,134.7599945,57758000,0,0
2023-01-17 00:00:00-05:00,134.8300018,137.2899933,134.1300049,135.9400024,63646600,0,0
2023-01-18 00:00:00-05:00,136.8200073,138.6100006,135.0299988,135.2100067,69672800,0,0
2023-01-19 00:00:00-05:00,134.0800018,136.25,133.7700043,135.2700043,58280400,0,0
2023-01-20 00:00:00-05:00,135.2799988,138.0200043,134.2200012,137.8699951,79972200,0,0
2023-01-23 00:00:00-05:00,138.1199951,143.3200073,137.8999939,141.1100006,81760300,0,0
2023-01-24 00:00:00-05:00,140.3099976,143.1600037,140.3000031,142.5299988,66435100,0,0
2023-01-25 00:00:00-05:00,140.8899994,142.4299927,138.8099976,141.8600006,65799300,0,0
2023-01-26 00:00:00-05:00,143.1699982,144.25,141.8999939,143.9600067,54105100,0,0
2023-01-27 00:00:00-05:00,143.1600037,147.2299957,143.0800018,145.9299927,70492800,0,0
2023-01-30 00:00:00-05:00,144.9600067,145.5500031,142.8500061,143,64015300,0,0
2023-01-31 00:00:00-05:00,142.6999969,144.3399963,142.2799988,144.2899933,65874500,0,0
2023-02-01 00:00:00-05:00,143.9700012,146.6100006,141.3200073,145.4299927,77663600,0,0
2023-02-02 00:00:00-05:00,148.8999939,151.1799927,148.1699982,150.8200073,118339000,0,0
2023-02-03 00:00:00-05:00,148.0299988,157.3800049,147.8300018,154.5,154279900,0,0
